,country,year,type,TN,TP,accuracy
5199,PT,2002,NB,0.80083857442348,0.23626373626373626,0.39436619718309857
5202,PT,2003,DT,0.8055260361317748,0.25,0.708150744960561
5207,PT,2003,DT,0.8055260361317748,0.25,0.708150744960561
5203,PT,2003,LDA,0.8055260361317748,0.25,0.708150744960561
5208,PT,2003,LDA,0.8055260361317748,0.25,0.708150744960561
5201,PT,2003,LR,0.8055260361317748,0.25,0.708150744960561
5206,PT,2003,LR,0.8055260361317748,0.25,0.708150744960561
5200,PT,2003,LR - Youden's J,0.8760217983651226,0.3488943488943489,0.708150744960561
5205,PT,2003,LR - Youden's J,0.8760217983651226,0.3488943488943489,0.708150744960561
5204,PT,2003,NB,0.8055260361317748,0.25,0.3873794916739702
5209,PT,2003,NB,0.8055260361317748,0.25,0.3873794916739702
5212,PT,2004,DT,0.7782974742750234,0.29218106995884774,0.6882621951219512
5217,PT,2004,DT,0.7782974742750234,0.29218106995884774,0.6882621951219512
5213,PT,2004,LDA,0.7782974742750234,0.29218106995884774,0.6882621951219512
5218,PT,2004,LDA,0.7782974742750234,0.29218106995884774,0.6882621951219512
5211,PT,2004,LR,0.7782974742750234,0.29218106995884774,0.6882621951219512
5216,PT,2004,LR,0.7782974742750234,0.29218106995884774,0.6882621951219512
5210,PT,2004,LR - Youden's J,0.855188141391106,0.4160919540229885,0.6882621951219512
5215,PT,2004,LR - Youden's J,0.855188141391106,0.4160919540229885,0.6882621951219512
5214,PT,2004,NB,0.7782974742750234,0.29218106995884774,0.4321646341463415
5219,PT,2004,NB,0.7782974742750234,0.29218106995884774,0.4321646341463415
5222,PT,2005,DT,0.7451557517782683,0.292,0.674746219183758
5227,PT,2005,DT,0.7451557517782683,0.292,0.674746219183758
5223,PT,2005,LDA,0.7451557517782683,0.292,0.674746219183758
5228,PT,2005,LDA,0.7451557517782683,0.292,0.674746219183758
5221,PT,2005,LR,0.7451557517782683,0.292,0.674746219183758
